	Chrna2_tdTpositive_cell_4	Chrna2_tdTpositive_cell_31	Chrna2_tdTpositive_cell_53	Chrna2_tdTpositive_cell_55	Chrna2_tdTpositive_cell_57	Chrna2_tdTpositive_cell_77	Gad2_tdTpositive_cell_18	Gad2_tdTpositive_cell_20	Gad2_tdTpositive_cell_48	Gad2_tdTpositive_cell_49	Gad2_tdTpositive_cell_64	Gad2_tdTpositive_cell_69	Gad2_tdTpositive_cell_78	Htr3a_tdTpositive_cell_24	Htr3a_tdTpositive_cell_32	Htr3a_tdTpositive_cell_44	Htr3a_tdTpositive_cell_91	Ndnf_tdTpositive_cell_20	Nos1_tdTpositive_cell_4	Nos1_tdTpositive_cell_7	Nos1_tdTpositive_cell_11	Nos1_tdTpositive_cell_12	Nos1_tdTpositive_cell_14	Nos1_tdTpositive_cell_15	Nos1_tdTpositive_cell_16	Nos1_tdTpositive_cell_17	Nos1_tdTpositive_cell_18	Nos1_tdTpositive_cell_20	Nos1_tdTpositive_cell_21	Nos1_tdTpositive_cell_22	Nos1_tdTpositive_cell_24	Nos1_tdTpositive_cell_32	Nos1_tdTpositive_cell_35	Nos1_tdTpositive_cell_40	Nos1_tdTpositive_cell_45	Nos1_tdTpositive_cell_50	Nos1_tdTpositive_cell_52	Nos1_tdTpositive_cell_53	Nos1_tdTpositive_cell_56	Nos1_tdTpositive_cell_57	Nos1_tdTpositive_cell_58	Nos1_tdTpositive_cell_62	Nos1_tdTpositive_cell_63	Nos1_tdTpositive_cell_64	Nos1_tdTpositive_cell_67	Nos1_tdTpositive_cell_68	Nos1_tdTpositive_cell_70	PvalbF.Gad2_tdTpositive_cell_31	Rbp4_tdTpositive_cell_59	Rbp4_tdTpositive_cell_165	Sst_tdTpositive_cell_4	Sst_tdTpositive_cell_18	Sst_tdTpositive_cell_23	Sst_tdTpositive_cell_29	Sst_tdTpositive_cell_33	Sst_tdTpositive_cell_55	Sst_tdTpositive_cell_63	Sst_tdTpositive_cell_69	Sst_tdTpositive_cell_72	Sst_tdTpositive_cell_79	Sst_tdTpositive_cell_80	Vip_tdTpositive_cell_30	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Tbp	58.37	0.38	46.63	2.41	0.0	10.5	0.0	0.41	0.0	0.0	0.0	396.28	0.0	0.16	93.9	34.65	11.61	0.0	0.0	62.35	0.0	68.26	0.0	59.42	0.18	0.13	33.67	0.15	62.56	1.53	36.73	107.44	16.3	0.0	173.47	0.53	0.0	67.47	0.0	79.62	0.0	0.0	0.0	22.36	0.0	0.13	50.1	64.02	123.99	33.37	67.43	85.74	0.19	64.4	0.16	0.0	0.26	0.0	198.41	0.11	43.67	0.0	76.21	87.62	34.48	27.24	74.16	44.37	63.06	24.43	25.44	24.66
Tgm2	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	91.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.93	9.58	6.9
Tmem185b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.64	0.36	2.75	1.18	138.76	0.0	0.0	2.49	0.0	0.0	0.0	0.0	0.06	0.0	0.0	13.41	0.09	0.12	0.0	0.0	19.19	27.11	0.0	1.07	0.0	0.26	0.09	0.0	2.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.93	0.12	22.86	0.0	34.66	0.12	25.89	0.0	0.0	0.0	1.93	64.2	22.62	5.36	0.0	0.83	1.12	0.12	0.09	1.9	3.77	0.61	11.19	13.0	10.32
Tmem198	0.0	0.94	1.53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.05	0.0	0.0	0.0	0.96	0.0	0.0	0.0	0.15	0.66	0.46	0.0	0.0	5.22	0.0	0.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.81	0.0	0.0	0.41	0.0	0.58	0.0	0.0	0.61	5.59	1.07	0.0	0.0	40.23	0.0	0.0	0.1	0.0	0.6	0.0	0.0	0.0	0.33	0.46	0.13	0.62	0.0	0.96	2.22	0.32	66.23	69.79	68.44
Tmem93	0.0	1.03	0.0	0.0	12.96	20.09	0.0	0.0	1.16	0.0	0.0	178.85	0.0	0.0	0.0	90.72	0.0	5.66	0.25	7.53	50.48	10.54	8.85	0.08	0.0	0.73	0.0	10.62	45.72	26.93	2.05	0.0	0.0	63.44	0.25	0.0	0.0	0.0	0.0	0.0	0.16	0.0	4.78	0.0	0.0	0.0	13.99	23.96	11.02	27.77	0.0	0.0	0.0	0.34	1.77	0.0	0.0	3.53	0.0	0.0	4.82	0.0	1.77	5.22	2.81	5.42	5.87	4.68	6.04	47.16	53.14	47.95
Tmppe	16.61	0.66	2.23	1.86	0.7	20.82	1.58	0.98	0.83	1.01	2.01	41.96	26.58	1.27	2.05	0.93	0.32	1.08	2.05	0.55	0.42	6.52	1.92	0.7	15.64	0.8	0.95	1.94	0.5	0.66	1.77	20.83	1.43	2.67	1.84	3.04	20.58	10.78	0.71	8.28	11.0	1.31	0.91	1.03	2.21	0.76	0.7	2.42	1.84	2.19	0.74	0.73	0.94	2.18	7.98	1.47	0.62	16.73	1.33	13.03	0.71	2.11	6.06	1.48	2.5	4.58	2.74	2.44	4.69	7.94	7.99	8.39
Tmtc3	0.0	7.88	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.06	92.78	0.0	8.73	4.15	98.76	0.0	0.0	2.34	0.01	0.0	2.64	30.77	0.0	0.0	0.0	0.0	6.14	0.0	30.49	25.21	0.0	8.82	0.93	0.0	0.0	0.0	7.01	0.0	14.55	0.77	0.0	9.85	0.0	0.23	0.08	11.16	7.34	0.0	11.11	0.0	0.0	18.39	24.58	0.0	0.0	0.0	0.0	0.0	3.1	0.0	0.25	2.0	8.56	1.89	4.78	7.92	4.6	4.3	8.71	7.38	8.91
Tnrc6b	4.7	3.95	1.76	0.05	10.42	1.42	3.46	1.04	0.03	5.0	0.51	42.25	2.27	0.7	0.57	10.03	13.94	0.0	0.44	3.6	0.06	11.95	7.68	0.45	3.31	1.13	14.48	2.44	1.55	0.69	4.46	2.93	0.16	1.92	0.3	2.98	5.04	3.74	0.15	5.59	2.53	0.04	1.73	8.49	0.31	2.06	1.52	6.7	4.03	9.13	0.7	1.12	0.41	1.61	14.1	0.8	0.25	5.24	8.06	0.95	0.05	2.35	3.03	5.24	4.2	3.98	5.05	4.66	3.84	23.16	19.07	23.71
Tubgcp6	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	35.25	68.86	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	6.12	0.0	0.0	0.0	0.0	0.59	0.0	0.0	0.0	22.71	0.0	2.05	0.0	0.0	0.0	0.0	0.0	21.92	0.0	0.04	0.0	46.93	1.51	0.0	0.0	4.48	12.13	1.36	0.24	0.06	0.0	0.0	0.0	0.0	0.0	0.0	47.95	0.0	0.0	0.0	4.43	1.22	3.34	5.71	1.85	3.7	2.6	17.64	16.8	19.37
Txndc11	6.47	3.21	0.0	0.0	0.31	0.0	0.0	2.08	0.0	0.55	0.47	200.92	0.83	0.0	0.0	1.1	0.0	0.0	0.0	0.0	1.0	1.62	0.0	0.26	0.15	0.73	0.0	11.83	0.0	2.39	0.0	0.0	0.42	6.74	0.0	0.0	0.2	0.0	0.0	0.0	32.32	0.56	15.01	0.46	0.0	0.0	0.0	6.38	1.02	4.98	0.0	0.0	0.0	0.0	0.0	3.91	43.78	0.0	0.0	0.39	1.28	0.0	0.34	5.41	0.85	2.12	0.75	2.54	3.51	24.06	27.32	24.09
Ube2ql1	13.13	3.57	20.85	2.09	0.76	33.24	9.9	47.2	81.23	44.86	43.1	115.35	0.0	22.71	63.47	80.2	0.0	0.0	19.63	30.45	0.13	0.0	0.2	8.33	0.04	0.09	3.47	0.0	26.32	1.06	16.77	13.75	0.0	15.51	74.91	0.0	27.73	0.0	0.0	1.71	0.0	0.1	32.92	0.0	22.22	2.42	29.09	31.25	141.24	50.03	30.56	0.0	0.0	12.91	11.27	24.07	0.0	4.52	66.61	29.87	0.11	40.85	62.92	124.3	89.09	77.37	53.42	55.32	54.4	174.48	185.53	183.77
Wfdc2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	93.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.14	0.45
Whsc1	35.76	14.93	24.89	10.48	0.0	20.59	4.15	0.0	4.31	23.7	72.34	124.9	56.27	10.22	14.72	101.1	5.69	0.0	19.12	14.36	0.0	17.25	12.09	11.33	15.62	11.77	0.0	8.18	29.33	13.63	19.33	20.01	34.63	34.22	21.3	0.08	20.33	0.0	0.42	35.5	7.9	17.98	8.78	14.45	6.54	22.04	24.35	12.75	55.69	22.66	8.96	0.0	52.42	0.99	39.51	0.87	41.19	6.25	40.17	17.68	7.39	33.65	22.11	13.72	19.64	24.0	10.66	12.21	10.64	47.83	41.47	47.63
Zbtb33	0.0	0.0	0.0	0.4	2.56	0.0	10.94	0.0	0.0	3.64	0.0	35.07	0.0	12.36	0.0	0.0	0.0	0.0	1.47	2.15	0.0	11.59	32.67	0.02	4.71	0.0	0.0	0.0	3.18	0.0	1.15	0.39	0.0	25.79	0.66	0.0	2.16	0.0	0.0	0.19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.61	8.89	6.58	0.0	0.0	0.0	0.0	3.23	0.0	0.0	23.09	3.23	11.78	0.67	2.12	4.02	8.17	4.79	1.61	1.79	1.93	5.0	19.54	17.59	17.1
Zbtb34	0.0	0.0	0.0	0.1	0.0	0.04	0.3	0.25	0.08	0.29	0.09	95.95	0.29	0.04	0.37	0.0	0.03	0.0	0.13	0.05	0.0	0.05	0.0	0.11	0.04	0.12	0.23	0.01	0.17	0.11	0.05	0.04	0.1	0.0	0.11	0.06	6.97	0.03	0.11	0.0	0.05	0.0	0.04	0.08	3.51	0.18	0.11	5.79	3.47	6.49	0.0	0.03	0.0	0.08	0.24	0.08	0.16	0.26	0.38	0.22	0.05	0.74	3.6	1.64	0.0	0.82	1.94	2.06	1.46	10.73	10.32	10.94
Zfp148	20.6	9.15	0.02	0.0	0.73	5.38	0.0	0.0	17.01	0.27	43.92	61.02	0.0	3.16	3.94	0.0	5.9	80.97	0.02	0.02	22.51	0.02	30.26	10.11	1.25	0.2	23.08	0.0	11.67	3.38	8.41	9.84	5.56	53.47	0.07	11.65	13.57	0.09	0.0	6.89	2.33	14.51	23.74	0.0	5.43	0.17	9.68	11.87	30.49	25.39	8.71	20.96	2.54	1.51	0.0	4.39	19.18	19.4	54.62	23.0	0.7	0.0	28.1	19.9	17.95	20.06	18.81	13.3	14.87	32.48	30.04	32.73
c10_tRNA-Ala-GCY_	50.49	0.0	0.0	0.0	41.42	0.77	25.62	0.0	43.99	0.0	0.0	276.64	0.0	0.0	29.06	0.0	35.57	0.0	0.0	4.55	0.0	0.0	0.0	0.0	4.16	0.0	0.0	16.49	0.0	0.0	0.0	0.0	0.0	11.99	0.0	0.0	0.0	0.0	20.12	0.0	12.1	0.0	0.0	54.22	0.0	31.96	11.55	50.75	66.94	14.81	0.0	0.0	0.0	33.63	0.0	12.81	0.0	22.31	0.0	92.97	0.0	0.0	0.0	43.54	0.0	0.0	0.0	19.87	20.1	29.3	60.81	43.36
c1_5S	0.0	0.0	0.0	0.0	0.0	0.0	62.71	0.0	128.7	0.0	31.74	444.96	0.0	94.21	27.92	0.0	0.0	0.0	0.0	0.0	24.28	0.0	0.0	0.0	14.06	0.0	0.0	73.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.7	0.0	0.0	0.0	37.99	5.86	7.65	0.0	0.0	0.0	0.0	8.52	4.42	6.25	9.13
