	Calb2_tdTpositive_cell_9	Chrna2_tdTpositive_cell_51	Cux2_tdTpositive_cell_57	Cux2_tdTpositive_cell_65	Cux2_tdTpositive_cell_74	Cux2_tdTpositive_cell_91	Cux2_tdTpositive_cell_96	Cux2_tdTnegative_cell_14	Gad2_tdTpositive_cell_66	Nr5a1_tdTpositive_cell_30	Nr5a1_tdTpositive_cell_44	Nr5a1_tdTpositive_cell_45	Ntsr1_tdTpositive_cell_16	Ntsr1_tdTpositive_cell_17	Ntsr1_tdTpositive_cell_27	Ntsr1_tdTpositive_cell_32	Ntsr1_tdTpositive_cell_38	Ntsr1_tdTpositive_cell_39	Ntsr1_tdTpositive_cell_41	Ntsr1_tdTpositive_cell_44	Ntsr1_tdTpositive_cell_52	Ntsr1_tdTpositive_cell_75	Rbp4_tdTpositive_cell_89	Rbp4_tdTpositive_cell_127	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_182	Rbp4_tdTpositive_cell_183	Scnn1a.Tg3_tdTpositive_cell_44	Scnn1a.Tg3_tdTpositive_cell_92	Slc17a6_tdTpositive_cell_16	Slc17a6_tdTpositive_cell_28	Slc17a6_tdTpositive_cell_30	Slc17a6_tdTpositive_cell_31	Slc17a6_tdTpositive_cell_38	Ntsr1_tdTpos_10cell_1	Ntsr1_tdTpos_10cell_2	Ntsr1_tdTpos_10cell_3	Ntsr1_tdTpos_10cell_4	Ntsr1_tdTpos_10cell_5	Ntsr1_tdTpos_10cell_6	Ntsr1_tdTpos_10cell_7	Ntsr1_tdTpos_10cell_8	Ntsr1_tdTpos_10cell_9	Ntsr1_tdTpos_10cell_10	Ntsr1_tdTpos_100cell_1	Ntsr1_tdTpos_100cell_2	Ntsr1_tdTpos_100cell_3	CAV_LP_Ipsi_tdTpos_cell_21	CAV_LP_Ipsi_tdTpos_cell_22	CAV_LP_Ipsi_tdTpos_cell_23	CAV_LP_Ipsi_tdTpos_cell_24	CAV_LP_Ipsi_tdTpos_cell_26	CAV_LP_Ipsi_tdTpos_cell_27	CAV_LP_Ipsi_tdTpos_cell_28	CAV_LP_Ipsi_tdTpos_cell_31	CAV_LP_Ipsi_tdTpos_cell_36	CAV_LP_Ipsi_tdTpos_cell_37	CAV_LP_Ipsi_tdTpos_cell_39	CAV_LP_Ipsi_tdTpos_cell_42	Rbp4_CTX_250ng_1	Trib2_CTX_250ng_1
Snord49a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.89	4.02
Spryd4	271.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	125.94	0.0	66.22	0.0	0.0	0.0	0.0	0.0	0.13	0.0	53.51	42.95	0.0	0.0	0.0	0.21	0.0	0.0	0.0	0.0	0.0	29.69	31.33	12.37	8.02	28.04	31.7	9.49	18.87	0.0	13.97	39.46	19.18	24.31	0.0	0.0	111.27	0.0	0.0	23.46	95.27	0.0	0.0	0.0	0.0	0.0	7.58	8.42
Srebf1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.23	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.24	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	1.07	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.19	0.08	0.0	0.0	24.46	28.11
Srrm1	16.5	72.52	22.97	21.74	33.73	6.92	103.02	18.66	41.93	88.5	68.11	151.82	17.0	157.7	21.12	15.03	67.72	2.87	35.84	78.65	0.68	42.08	0.0	66.89	72.24	36.5	58.03	1.51	39.33	30.07	20.13	116.95	101.86	56.18	42.81	38.05	75.42	37.7	54.35	63.12	54.84	40.03	48.2	43.06	52.39	45.94	43.72	49.62	34.17	21.86	41.17	19.58	57.5	30.74	129.73	79.4	53.52	30.16	45.06	83.42	91.56
Stac2	0.13	0.0	0.0	3.25	0.0	2.99	0.99	0.0	0.0	0.0	0.0	0.0	0.0	64.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.12	1.61	25.0	1.34	0.69	0.0	0.0	0.0	0.0	0.0	1.8	4.45	6.04	7.03	31.43	8.09	13.49	14.43	18.59	26.6	20.6	14.94	14.84	23.2	15.91	0.0	0.0	0.0	0.0	0.0	70.48	0.0	0.0	0.1	0.0	0.0	0.0	75.0	85.87
Stra6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.55	0.0	3.17	0.0	0.0	0.0	0.0	0.5	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	11.42	0.0	0.0	0.0	0.0	0.0	0.0	4.14	3.5
Syngr2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.51	11.22
Syt14	108.42	0.0	0.0	0.0	0.0	0.0	0.0	0.18	0.0	0.0	0.0	59.84	0.0	20.27	0.0	0.0	0.0	0.0	1.45	0.0	0.0	9.17	0.0	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.35	2.55	5.72	0.0	0.0	0.0	0.45	0.87	0.0	0.7	3.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.99	9.84
Tbx6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.45	0.9
Thrap3	74.57	29.46	4.94	112.88	2.53	88.25	40.01	48.66	18.54	19.1	115.72	54.95	13.87	102.53	54.67	17.96	112.22	0.0	26.02	10.02	13.85	80.95	140.04	20.77	16.0	15.68	48.31	11.92	86.85	122.64	0.14	14.1	0.0	28.7	75.7	62.8	62.53	64.79	50.34	50.2	66.23	43.24	49.06	71.54	36.96	45.92	31.05	161.5	53.92	116.17	45.21	38.44	39.43	54.94	39.24	52.43	95.3	14.7	4.71	80.29	78.28
Tmem150c	0.0	0.0	0.24	0.0	0.0	0.0	0.0	0.08	0.0	0.0	0.0	0.0	0.0	43.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.08	18.65	4.61	0.05	0.34	0.0	0.0	24.91	0.0	0.0	0.0	0.0	1.26	0.8	4.33	1.02	8.2	2.18	0.09	6.68	1.04	2.3	2.51	1.56	0.79	0.0	0.0	0.0	0.0	0.14	19.58	0.0	0.0	12.2	0.0	0.0	0.0	32.53	31.22
Tmem180	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	62.77	0.0	0.3	0.0	0.0	0.11	0.0	81.67	0.17	0.0	3.2	9.92	23.85	1.58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.56	6.15	0.29	3.29	12.5	20.22	4.55	16.94	13.37	5.57	1.05	3.33	7.19	0.0	0.0	0.0	0.11	0.0	31.07	0.0	0.0	0.0	0.0	0.0	0.0	23.52	26.07
Tmem80	0.0	0.0	8.15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.67	78.3	0.0	0.0	0.17	0.0	0.0	0.0	0.64	0.0	0.0	0.4	0.0	138.81	0.08	155.8	218.4	0.0	0.0	0.0	0.0	0.0	8.36	17.51	12.81	1.94	18.75	19.24	37.67	1.02	0.14	18.46	14.36	16.39	10.39	0.0	0.0	0.0	43.82	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.13	35.08
Top1mt	0.0	0.0	0.2	0.23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	80.07	0.0	0.0	0.0	0.0	0.0	0.0	0.22	2.64	0.0	0.0	1.93	0.31	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.32	19.27	27.29	15.48	17.46	23.18	9.02	0.41	26.31	0.0	7.47	5.68	16.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.81	0.0	0.0	0.0	16.82	16.92
U2af2	15.56	0.0	0.0	16.67	0.0	17.69	17.34	0.0	0.83	0.0	21.12	0.0	0.18	40.14	10.87	17.2	3.6	0.0	0.0	12.27	0.0	34.62	0.0	7.63	3.92	10.01	22.81	0.1	0.0	15.14	13.47	5.68	0.87	0.27	5.87	11.5	2.03	7.13	2.79	11.02	3.16	6.16	5.67	2.9	3.7	2.05	6.22	6.13	0.0	0.0	11.04	10.31	0.0	0.0	0.0	9.35	1.48	0.0	1.43	140.07	146.35
Ube2ql1	0.0	4.56	5.96	76.26	255.99	35.37	1.41	145.06	5.59	186.36	0.0	44.19	46.94	177.42	1.47	61.07	72.11	41.12	222.58	225.88	87.91	8.44	8.92	16.37	50.03	54.31	13.81	0.0	14.89	4.56	127.85	55.61	46.32	21.24	71.63	93.87	62.92	124.3	89.09	49.12	77.37	58.79	36.79	67.97	53.42	55.32	54.4	83.42	38.08	71.76	65.13	103.28	22.11	44.16	35.06	10.67	70.19	5.07	163.92	174.48	183.77
Uspl1	0.0	0.0	6.36	0.0	0.0	1.31	7.75	0.1	5.14	0.2	0.13	0.0	0.0	64.18	0.0	3.19	0.0	0.0	41.44	27.11	19.65	139.49	250.97	40.25	0.33	0.76	0.24	1.21	71.69	0.0	63.73	34.55	77.12	0.0	21.88	41.5	45.17	5.85	10.61	12.51	12.52	2.72	33.44	14.09	48.09	22.69	19.64	0.0	7.58	0.0	0.0	2.7	0.1	0.0	0.0	11.79	0.36	0.0	0.0	24.97	21.45
Vmn2r120	0.0	0.0	0.0	0.0	0.31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	2.69	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.13	0.0	0.1	0.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.08	0.0	0.04	0.12
Vps39	0.0	46.37	13.91	2.86	0.0	0.0	58.26	58.51	0.0	0.0	18.03	0.0	0.27	85.05	0.0	5.44	0.0	23.88	0.06	83.32	19.47	120.43	0.17	27.91	4.49	11.06	0.2	0.0	0.45	0.0	0.0	0.38	0.0	0.0	33.45	14.46	17.72	24.67	12.56	31.69	38.69	23.2	29.23	16.55	31.93	25.13	16.48	0.0	4.8	0.0	0.0	0.0	0.0	15.07	0.0	2.71	0.0	0.06	101.69	51.06	48.36
Xrcc6	0.18	0.0	111.51	0.0	0.0	0.0	98.92	0.0	0.0	0.0	0.0	0.18	3.79	208.7	0.16	75.26	0.0	0.0	1.18	2.34	6.03	187.32	0.0	0.0	29.1	85.37	1.07	184.0	0.39	118.72	2.97	24.46	22.93	0.0	10.48	28.99	12.12	8.08	28.0	12.72	72.69	13.76	17.87	17.89	29.13	20.16	18.69	1.02	0.0	0.13	0.0	6.08	5.36	0.0	0.0	75.32	156.7	0.0	144.22	17.21	17.43
Zfp14	0.0	0.0	0.0	9.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	72.17	0.0	1.74	2.05	0.0	0.0	0.0	0.0	115.2	0.0	0.0	0.9	0.08	0.09	135.74	0.05	0.0	0.0	0.0	0.0	0.17	26.91	4.06	16.62	5.51	7.95	7.93	0.0	0.0	8.82	5.11	19.18	14.9	17.25	0.0	0.0	0.0	1.89	0.0	0.0	0.0	0.0	0.0	0.0	137.87	0.0	7.19	7.71
Zfp192	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.04	0.0	0.0	10.66	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.04	0.03	1.49	0.2	0.15	0.0	0.04	0.07	0.14	0.0	0.11	0.0	2.65	6.29	0.0	2.51	1.82	7.2	11.81	3.26	2.3	1.08	1.54	2.49	4.11	0.06	1.83	0.0	0.03	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	11.14	11.31
Zfp213	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.37	0.0	0.48	0.0	0.84	0.0	0.0	0.0	4.44	0.0	0.0	0.0	0.0	0.0	2.38	0.0	0.0	2.13	7.3	0.0	0.0	0.0	1.0	0.0	0.26	0.0	0.0	0.11	0.0	0.0	0.0	0.37	20.98	0.0	0.0	0.0	0.0	6.9	7.7
Zfp27	5.9	0.0	0.0	108.27	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.88	6.63	148.53	0.0	0.1	0.0	0.0	0.07	0.0	0.12	0.06	0.0	48.77	6.14	0.31	0.54	0.0	110.05	0.0	0.0	0.0	0.0	49.19	18.12	11.93	6.8	11.47	8.29	17.76	35.03	6.41	14.97	9.03	20.36	15.34	16.28	0.15	75.56	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.32	12.05
Zfp389	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.71	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.79	15.21	0.0	0.0	0.0	0.0	13.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.98	1.01
Zfp518a	0.5	0.4	0.0	0.0	0.0	0.0	13.03	0.0	0.0	0.0	0.0	0.0	0.0	32.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	62.01	0.0	0.0	3.51	0.11	0.17	0.0	0.02	0.0	7.21	6.81	1.1	0.0	2.92	2.58	2.85	0.33	4.39	2.42	2.98	10.98	2.99	2.17	5.42	3.18	4.06	0.0	0.0	0.0	0.0	0.0	5.35	0.0	0.0	0.0	0.0	0.0	10.06	4.85	4.97
Zfp536	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	8.26	11.03
Zfp560	0.64	1.27	0.0	1.72	0.33	11.25	6.45	0.06	0.19	0.0	0.56	2.99	6.92	70.86	9.74	0.53	19.23	14.33	0.61	0.0	2.82	0.73	0.0	0.83	9.83	7.12	1.65	0.92	11.33	9.21	0.26	12.04	7.57	1.0	3.47	9.96	10.63	3.33	6.48	2.08	12.25	4.51	13.1	13.6	7.26	7.52	9.6	22.02	0.0	3.36	0.26	1.29	37.15	0.95	0.4	0.94	0.27	0.0	21.69	4.31	4.49
Zfp616	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15	0.0	0.0	0.0	0.0	0.03	0.0	0.05	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.0	0.0
Zfp78	0.08	0.0	0.08	0.18	0.0	0.0	0.16	0.0	0.0	0.0	0.04	0.0	0.0	57.47	0.07	0.0	0.08	0.0	0.05	0.07	0.0	9.32	0.0	0.0	0.06	0.09	5.92	0.0	0.0	0.0	0.0	0.18	0.0	0.13	2.27	5.19	6.25	5.79	0.0	0.45	0.97	5.38	6.91	8.23	4.39	4.73	4.18	0.2	0.0	0.0	0.0	0.0	0.06	0.0	0.0	47.03	0.0	8.82	0.05	1.29	1.79
Zfp939	0.0	0.0	0.0	10.15	0.0	1.54	0.0	0.0	0.0	0.0	0.0	0.0	0.0	113.96	0.0	135.79	0.0	58.61	96.26	0.0	1.5	0.0	0.0	58.45	7.38	35.47	0.0	0.0	0.08	0.0	112.85	108.07	0.0	0.0	7.23	34.46	23.69	15.38	21.34	36.82	2.05	9.2	12.45	0.7	6.84	6.83	13.26	0.0	0.0	0.0	125.32	0.0	0.0	46.1	0.0	0.0	0.0	0.0	0.0	7.97	7.24
Znrd1as	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	82.32	0.36	0.0	0.0	0.0	95.57	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31	0.48	0.0	0.0	76.1	0.0	0.0	0.0	0.0	1.51	0.0	24.26	0.0	13.68	7.99	10.7	17.6	0.0	11.16	15.58	5.13	14.79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	92.33	0.0	4.35	3.85
c7_tRNA-Ala-GCA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	62.94	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.18	0.0	13.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.05	21.05
mt_AK136262	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.0	0.0	0.0	0.0	33.84	32.73	75.42	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.11	0.07	0.64	0.04	100.77	9.86	4.83	261.93	46.91	210.2	12.15	165.57	50.19	19.33	8.22	0.19	1.6	0.61	1.14	52.84	0.09	4.5	2.02	0.0	240.38	2.48	0.79	0.16	83.8	0.0	0.0
mt_AK142003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.0	0.0	0.0	0.0	33.84	32.73	75.42	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.11	0.07	0.64	0.04	100.77	9.86	4.83	261.93	46.91	210.2	12.15	165.57	50.19	19.33	8.22	0.19	1.6	0.61	1.14	52.84	0.09	4.5	2.02	0.0	240.38	2.48	0.79	0.16	83.8	0.0	0.0
mt_AK166798	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.0	0.0	0.0	0.0	33.84	32.73	75.42	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.11	0.07	0.64	0.04	100.77	9.86	4.83	261.93	46.91	210.2	12.15	165.57	50.19	19.33	8.22	0.19	1.6	0.61	1.14	52.84	0.09	4.5	2.02	0.0	240.38	2.48	0.79	0.16	83.8	0.0	0.0
mt_AK166978	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.0	0.0	0.0	0.0	33.84	32.73	75.42	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.11	0.07	0.64	0.04	100.77	9.86	4.83	261.93	46.91	210.2	12.15	165.57	50.19	19.33	8.22	0.19	1.6	0.61	1.14	52.84	0.09	4.5	2.02	0.0	240.38	2.48	0.79	0.16	83.8	0.0	0.0
