	Calb2_tdTpositive_cell_2	Ctgf_tdTpositive_cell_3	Ctgf_tdTpositive_cell_9	Cux2_tdTpositive_cell_4	Cux2_tdTpositive_cell_64	Ndnf_tdTpositive_cell_7	Ndnf_tdTpositive_cell_10	Ndnf_tdTpositive_cell_11	Ndnf_tdTnegative_cell_7	Nr5a1_tdTpositive_cell_1	Nr5a1_tdTpositive_cell_35	Rbp4_tdTpositive_cell_2	Rbp4_tdTpositive_cell_70	Rbp4_tdTpositive_cell_74	Rbp4_tdTpositive_cell_95	Rbp4_tdTpositive_cell_133	Rbp4_tdTpositive_cell_134	Rbp4_tdTpositive_cell_141	Rbp4_tdTpositive_cell_144	Rbp4_tdTpositive_cell_147	Rbp4_tdTpositive_cell_156	Rbp4_tdTpositive_cell_165	Rbp4_tdTpositive_cell_168	Rbp4_tdTpositive_cell_176	Rbp4_tdTpositive_cell_177	Rbp4_tdTpositive_cell_185	Rbp4_tdTnegative_cell_3	Rbp4_tdTnegative_cell_6	Rbp4_tdTnegative_cell_9	Rbp4_tdTnegative_cell_13	Rbp4_tdTnegative_cell_14	Rbp4_tdTnegative_cell_22	Rbp4_tdTnegative_cell_23	Rorb_tdTpositive_cell_1	Rorb_tdTpositive_cell_2	Rorb_tdTpositive_cell_6	Rorb_tdTpositive_cell_9	Rorb_tdTpositive_cell_12	Rorb_tdTpositive_cell_16	Rorb_tdTpositive_cell_19	Rorb_tdTpositive_cell_21	Rorb_tdTpositive_cell_22	Rorb_tdTpositive_cell_41	Rorb_tdTpositive_cell_42	Rorb_tdTpositive_cell_46	Rorb_tdTpositive_cell_47	Rorb_tdTpositive_cell_49	Rorb_tdTpositive_cell_51	Rorb_tdTpositive_cell_52	Rorb_tdTpositive_cell_53	Scnn1a.Tg2_tdTpositive_cell_7	Scnn1a.Tg2_tdTpositive_cell_8	Scnn1a.Tg2_tdTpositive_cell_12	Scnn1a.Tg3_tdTnegative_cell_11	Rbp4_CTX_250ng_1	Rbp4_CTX_250ng_2	Trib2_CTX_250ng_1
Tnfrsf23	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17	1.07	0.32	0.0	0.74	1.09	0.44	0.16	0.0	0.66	0.22	0.08	0.01	0.79	0.31	0.0	1.98	1.54	0.18	0.0	0.0	0.0	3.93	0.0	0.0	0.62	0.0	0.0	0.0	6.99	0.0	0.0	0.0	0.0	0.26	0.12	0.79	0.0	0.0	0.0	0.17	0.15	0.57	0.3	0.0	1.68	1.55	1.71
Tnip1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.97	0.0	0.0	3.89	1.69	30.28	38.8	0.09	28.96	53.24	0.0	9.52	0.2	20.7	0.26	74.67	0.12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	132.36	0.0	0.0	0.0	46.66	44.4	22.61	0.31	0.12	0.0	29.85	0.29	0.0	14.64	1.8	0.0	20.44	20.33	20.11
Toe1	0.0	0.0	0.0	8.93	0.0	0.0	0.0	0.0	0.0	5.95	0.65	94.99	3.56	0.0	0.17	0.59	0.21	0.0	123.55	92.04	0.0	2.3	0.0	0.0	107.34	3.57	0.48	3.66	0.78	0.0	0.32	1.5	4.42	0.0	0.0	0.0	0.0	0.0	177.15	10.25	12.3	0.56	39.13	0.23	67.43	0.21	1.09	0.5	52.03	0.25	110.7	27.13	0.24	0.0	13.69	12.75	10.73
Tsga13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	121.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	0.09	0.36
Tubgcp5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.13	170.11	0.89	20.83	31.17	0.0	51.16	25.96	12.57	83.56	20.65	0.07	30.53	0.14	79.11	0.0	0.0	1218.29	0.2	0.21	0.0	752.77	1443.0	95.32	2.55	0.0	0.0	105.75	0.0	305.08	2.52	0.0	16.99	32.45	121.68	57.1	7.59	0.0	2.53	0.64	20.59	62.38	27.21	0.65	48.36	23.07	21.37	22.42
Ubr2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.84	5.07	3.01	1.46	1.03	0.0	0.27	0.03	0.0	1.33	0.0	5.61	0.0	0.1	0.72	7.16	1.16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09	7.74	0.0	17.49	0.36	0.98	0.0	0.55	11.28	0.0	0.0	0.0	0.29	0.49	1.86	0.0	4.82	21.89	0.0	37.12	36.47	37.59
Unc80	44.19	0.0	0.0	14.65	31.44	0.0	0.0	0.0	0.0	93.12	61.84	110.56	42.62	92.42	20.83	75.26	43.85	50.11	13.53	80.67	117.92	29.59	77.77	82.05	37.31	42.17	0.07	6.05	0.0	112.96	0.05	0.0	0.07	26.71	6.24	19.21	47.57	35.4	126.47	25.95	5.58	60.54	17.11	54.26	39.54	0.09	27.97	2.67	19.21	13.23	42.27	25.74	58.97	0.0	84.37	69.19	87.32
Usp13	0.0	0.0	0.0	0.0	39.09	0.0	0.0	0.0	0.13	0.0	0.55	0.0	0.0	0.1	0.07	7.24	0.18	0.0	0.0	39.1	1.18	6.24	27.93	30.8	1.62	27.46	0.0	0.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	85.77	0.0	0.0	0.0	0.74	26.15	0.0	0.0	0.0	0.89	7.23	0.05	51.33	0.28	0.1	0.0	16.56	14.56	16.81
Vars2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.48	0.0	0.0	0.0	0.47	0.05	1.95	0.0	0.06	1.74	0.0	13.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.0	0.0	0.54	0.0	9.64	0.0	0.0	0.0	0.17	0.0	0.0	0.0	0.0	2.53	0.0	0.0	0.0	0.0	0.0	0.0	15.61	16.2	13.74
Wbscr27	0.0	0.09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12	0.0	0.0	0.0	0.0	9.18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	107.77	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	1.15	0.0	0.0	0.0	0.0	6.03	6.44	6.61
Wdr3	0.0	0.0	0.0	0.0	0.11	0.0	0.0	0.0	0.0	148.78	0.0	0.0	42.89	0.0	0.0	9.26	61.46	66.97	0.0	74.54	0.0	11.43	35.51	0.47	0.2	2.75	0.0	0.0	0.0	0.0	0.0	0.0	63.66	0.0	113.97	83.09	0.0	0.0	234.38	46.21	17.92	151.67	67.01	0.33	62.93	19.05	0.0	0.09	0.0	0.0	0.0	0.0	3.21	0.0	16.13	15.92	15.38
Wdr41	0.0	0.0	0.0	0.0	0.52	0.0	0.0	0.0	0.0	2.02	0.0	0.05	22.0	6.59	0.0	0.0	0.0	0.0	15.93	139.75	0.0	4.47	0.0	37.51	0.0	0.11	688.5	0.0	0.0	0.0	0.0	0.0	0.0	8.73	0.0	52.64	0.0	0.0	114.24	0.0	0.0	0.0	5.41	0.0	0.0	0.0	0.0	0.0	30.61	83.94	10.68	0.0	7.37	0.0	30.24	29.73	28.79
Ypel3	0.0	0.0	0.0	37.84	0.4	0.0	0.0	0.0	0.0	44.6	196.78	52.71	28.38	31.34	80.31	5.16	64.32	60.14	0.0	71.86	0.9	52.89	130.62	55.8	137.73	67.62	1.05	0.0	0.0	0.0	0.0	1.31	0.0	3.48	0.22	3.0	38.56	0.0	251.72	73.37	0.0	31.91	94.34	53.73	80.11	0.0	89.03	66.31	62.41	0.55	1.6	73.81	0.52	0.0	295.93	344.58	318.07
Zbtb24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	1.83	24.33	0.0	0.0	0.0	0.0	0.0	3.17	0.0	0.13	0.1	12.16	0.18	19.18	0.25	50.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	103.88	0.0	0.0	0.0	0.0	0.0	0.85	0.0	0.11	0.11	33.07	0.09	0.0	0.0	0.0	0.0	10.94	9.94	11.04
Zdhhc2	0.0	0.0	0.0	0.09	0.0	0.0	0.0	0.22	0.0	134.42	0.52	0.09	0.81	47.57	47.42	31.74	2.72	5.4	0.0	0.0	0.0	8.72	0.0	13.66	52.81	8.41	0.13	0.29	0.0	0.0	0.0	0.0	0.0	59.93	0.0	25.51	0.0	0.0	118.6	3.05	0.0	0.0	3.1	0.0	0.0	0.0	13.98	55.34	0.24	0.0	0.0	0.0	83.27	0.0	50.51	51.98	50.18
Zdhhc3	18.56	0.57	0.46	0.3	0.05	0.11	0.17	1.53	0.35	0.77	0.85	17.09	25.69	7.45	0.46	0.89	0.45	1.21	6.63	1.13	0.94	2.63	0.61	0.59	0.9	1.1	0.68	0.74	2.2	4.67	0.29	1.36	1.82	0.14	0.08	0.71	9.1	1.67	28.25	0.46	0.49	0.67	9.5	19.36	0.21	0.75	2.92	5.57	15.48	1.03	0.3	0.32	0.35	3.67	24.69	26.51	25.39
Zfat	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.31	0.0	0.0	1.32	0.0	25.83	0.26	0.0	0.64	10.18	3.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	92.56	0.0	0.0	1.14	0.0	1.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.74	3.31	3.68
Zfhx2	10.43	0.0	0.0	3.87	0.0	86.62	0.0	0.0	0.0	0.0	0.88	1.96	6.95	4.31	0.55	1.03	0.53	0.0	0.0	0.0	12.52	1.22	0.24	18.88	0.16	6.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.56	0.0	0.0	3.22	0.0	7.95	0.81	0.0	0.0	0.0	1.72	0.0	0.0	5.28	9.55	5.69	0.75	6.08	0.0	0.43	0.0	24.18	22.92	24.02
Zfp114	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.0	56.13	0.09	54.04	0.0	0.0	4.25	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	3.32	2.8	3.25
Zfp367	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.05	0.0	86.01	0.0	0.0	0.0	26.27	0.36	3.71	28.68	123.79	0.0	15.58	18.03	25.45	0.0	0.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.62	57.43	94.09	0.0	10.32	65.01	29.09	0.0	14.78	0.0	9.06	0.09	38.65	0.0	67.44	1.4	30.02	0.0	19.62	18.37	17.87
Zfp90	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	162.96	0.0	0.0	0.0	0.0	0.0	0.0	6.16	0.0	0.0	0.0	0.0	7.29	0.0	0.0	0.0	0.0	2155.18	0.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	292.81	0.0	0.0	0.0	2.2	0.0	0.0	0.0	0.0	0.0	4.26	0.0	0.0	0.0	6.97	0.0	11.2	12.26	11.73
Zmynd11	0.0	0.0	0.0	0.16	42.65	0.0	0.0	0.0	0.0	53.51	1.63	8.31	53.97	36.99	92.73	38.69	60.67	42.64	10.83	114.5	43.96	37.93	10.9	116.9	52.37	38.88	0.16	0.0	0.39	0.0	0.32	0.0	0.0	41.14	6.33	0.86	49.74	0.41	107.79	51.95	29.35	253.65	32.22	63.98	4.95	0.1	37.0	23.78	95.71	18.74	60.85	44.41	0.0	0.0	146.99	144.86	141.41
c11_tRNA-Ala-GCA	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.95	0.0	36.96	0.0	0.0	31.05	0.0	23.39	0.0	0.0	0.0	53.16	49.22	0.0	0.0	0.0	50.16	92.57	0.0	16.87	0.0	0.0	0.0	0.0	0.0	0.0	99.62	21.53	0.0	0.0	0.0	16.65	7.65	0.0	0.0	0.0	0.0	0.0	0.0	21.01	0.0	0.0	12.39	3.67	9.69
